id,name,city,slug,website
6568,Sofive Soccer Centers Winter Park (XL Soccer World),Orlando,sofive-soccer-centers-winter-park-xl-soccer-world-orlando-fl-6568,https://www.sofive.com/locations/winter-park
6825,Agency for Persons with Disabilities - Tampa Office,Tampa,agency-for-persons-with-disabilities-tampa-office-tampa-fl-6825,null
7011,Agency-Persons With Disability,Orlando,agency-persons-with-disability-orlando-fl-7011,null
7295,Consumer Notice,Orlando,consumer-notice-orlando-fl-7295,https://www.consumernotice.org/
