domain,n_records,n_cities,n_aba,ids,cities
hopkinsmedicine.org,13,7,1,"[""10413"",""10284"",""10009"",""8993"",""10258"",""10186"",""10185"",""10287"",""10183"",""10283"",""10143"",""10211"",""10285""]","[""BRANDON"",""BRANDON"",""FORT MYERS"",""LAKELAND"",""NEW PORT RICHEY"",""NEW PORT RICHEY"",""PALM HARBOR"",""ST. PETERSBURG"",""ST. PETERSBURG"",""TAMPA"",""TAMPA"",""TAMPA"",""TAMPA""]"
teampbs.com,11,11,11,"[""10623"",""10624"",""6743"",""10619"",""10627"",""10626"",""10621"",""10625"",""10618"",""10620"",""10622""]","[""BRANDON"",""FORT MYERS"",""GAINESVILLE"",""JACKSONVILLE"",""MELBOURNE"",""MIAMI"",""ORLANDO"",""PEMBROKE PINES"",""STUART"",""TALLAHASSEE"",""TAMPA""]"
wolfsonchildrens.com,10,5,2,"[""10004"",""10235"",""10090"",""9261"",""7535"",""9100"",""10001"",""10096"",""10150"",""10229""]","[""FLEMING ISLAND"",""FLEMING ISLAND"",""JACKSONVILLE"",""JACKSONVILLE"",""JACKSONVILLE"",""JACKSONVILLE"",""JACKSONVILLE"",""JACKSONVILLE BEACH"",""LAKE CITY"",""PONTE VEDRA""]"
brooksrehab.org,10,6,1,"[""6676"",""10148"",""10092"",""10095"",""10102"",""7428"",""6926"",""10152"",""10035"",""10230""]","[""DAYTONA BEACH"",""DELTONA"",""JACKSONVILLE"",""JACKSONVILLE"",""JACKSONVILLE"",""JACKSONVILLE"",""JACKSONVILLE"",""ORMOND BEACH"",""PORT ORANGE"",""ST. AUGUSTINE""]"
abacentersfl.com,10,10,10,"[""10594"",""10596"",""7217"",""10601"",""10597"",""8832"",""10598"",""10600"",""10595"",""10599""]","[""BOCA RATON"",""CELEBRATION"",""JENSEN BEACH"",""LONGWOOD"",""MIRAMAR"",""ORLANDO"",""ROYAL PALM BEACH"",""TAMARAC"",""TAMPA"",""WESLEY CHAPEL""]"
florida.easterseals.com,9,8,3,"[""8970"",""9212"",""6344"",""10554"",""6389"",""10667"",""7381"",""7180"",""10673""]","[""DAYTONA BEACH"",""DELAND"",""NAPLES"",""NEW SMYRNA BEACH"",""PALM BAY"",""SORRENTO"",""WEST PALM BEACH"",""WINTER PARK"",""WINTER PARK""]"
elitedna.com,8,8,7,"[""6922"",""6671"",""6759"",""5847"",""7307"",""9388"",""7416"",""7109""]","[""BROOKSVILLE"",""CAPE CORAL"",""FORT MYERS"",""GAINESVILLE"",""JACKSONVILLE"",""LAKELAND"",""ORMOND BEACH"",""TALLAHASSEE""]"
nicklauschildrens.org,8,7,0,"[""9842"",""10411"",""9815"",""10055"",""9873"",""10168"",""9872"",""10226""]","[""MEDLEY"",""MIAMI"",""MIAMI"",""MIAMI LAKES"",""MIRAMAR"",""PALM BEACH GARDENS"",""PEMBROKE PINES"",""WESTON""]"
bluesprigautism.com,8,8,4,"[""8838"",""7378"",""6861"",""7214"",""7100"",""6668"",""7094"",""6747""]","[""CLEARWATER"",""DAYTONA BEACH"",""GAINESVILLE"",""NORTH FORT MYERS"",""PORT ST. LUCIE"",""SPRING HILL"",""TALLAHASSEE"",""WINTER PARK""]"
baycare.org,7,4,1,"[""10267"",""5861"",""10050"",""9670"",""9701"",""10210"",""10216""]","[""CLEARWATER"",""CLEARWATER"",""PALM HARBOR"",""SAFETY HARBOR"",""TAMPA"",""TAMPA"",""TAMPA""]"
