domain,n_records,n_cities,n_aba,ids,cities
cfldreamplex.com,2,2,0,"[""10278"",""6628""]","[""CLERMONT"",""ORLANDO""]"
childrensbehavioralint.com,2,2,1,"[""8582"",""6563""]","[""PALM SPRINGS"",""WEST PALM BEACH""]"
childrenscommunication.com,2,1,1,"[""9365"",""6835""]","[""TALLAHASSEE"",""TALLAHASSEE""]"
childrensdiagnostic.org,2,1,1,"[""6499"",""8572""]","[""FORT LAUDERDALE"",""FORT LAUDERDALE""]"
childrensrehabppec.com,2,2,0,"[""10006"",""6967""]","[""LEHIGH ACRES"",""MIAMI GARDENS""]"
coastaltherapy.net,2,2,0,"[""8578"",""8489""]","[""JACKSONVILLE"",""JACKSONVILLE BEACH""]"
commdisorders.cci.fsu.edu,2,1,0,"[""6938"",""9235""]","[""TALLAHASSEE"",""TALLAHASSEE""]"
compassionbehavioralhealth.com,2,1,0,"[""7439"",""7476""]","[""HOLLYWOOD"",""HOLLYWOOD""]"
complete-care.com,2,2,0,"[""9544"",""9461""]","[""LAKELAND"",""PALM BAY""]"
corevaluesptorlando.com,2,2,0,"[""9505"",""9645""]","[""ALTAMONTE SPRINGS"",""ORLANDO""]"
counselingsoflo.com,2,2,0,"[""7301"",""6934""]","[""FORT LAUDERDALE"",""MIAMI""]"
easterseals.com,2,2,1,"[""8875"",""6892""]","[""DAYTONA BEACH"",""MIAMI""]"
firstwordspediatrictherapy.com,2,2,1,"[""9266"",""6978""]","[""PALM SPRINGS"",""WEST PALM BEACH""]"
fl-mentor.com,2,2,0,"[""7478"",""8814""]","[""DAYTONA BEACH"",""GAINESVILLE""]"
florehabcenter.com,2,2,0,"[""9824"",""9997""]","[""ORMOND BEACH"",""PORT ORANGE""]"
floridahandtherapy.com,2,2,0,"[""9310"",""9321""]","[""DANIA BEACH"",""STUART""]"
floridahealth.gov,2,1,0,"[""7373"",""7320""]","[""TALLAHASSEE"",""TALLAHASSEE""]"
foxpt.com,2,1,0,"[""9804"",""9897""]","[""MIAMI"",""MIAMI""]"
fussiontherapy.com,2,2,0,"[""10264"",""6977""]","[""HIALEAH"",""HIALEAH GARDENS""]"
gigisplayhouse.org,2,2,1,"[""8947"",""9131""]","[""FORT MYERS"",""TAMPA""]"
gulfshorebh.com,2,1,1,"[""5791"",""8597""]","[""FORT MYERS"",""FORT MYERS""]"
holisticfamilyot.com,2,2,0,"[""6691"",""9324""]","[""LAKE WORTH BEACH"",""PALM SPRINGS""]"
holy-cross.com,2,2,0,"[""7438"",""9732""]","[""OAKLAND PARK"",""POMPANO BEACH""]"
homegrowntherapyswfl.com,2,1,1,"[""7193"",""6678""]","[""CAPE CORAL"",""CAPE CORAL""]"
hopefultherapies.com,2,1,1,"[""9048"",""9999""]","[""LAKELAND"",""LAKELAND""]"
hupcfl.com,2,2,0,"[""6496"",""10369""]","[""TALLAHASSEE"",""WEST MELBOURNE""]"
impacttlh.org,2,1,1,"[""10302"",""7375""]","[""TALLAHASSEE"",""TALLAHASSEE""]"
kernaghanmoore.com,2,2,0,"[""10407"",""7288""]","[""NEW PORT RICHEY"",""SPRING HILL""]"
kidsincareppec.com,2,2,0,"[""6782"",""10320""]","[""GREENACRES"",""LAKE WORTH""]"
kidstherapyconnection.com,2,2,2,"[""10002"",""7266""]","[""DORAL"",""SOUTH MIAMI""]"
kidztz.com,2,2,0,"[""7421"",""9418""]","[""ORLANDO"",""WINTER GARDEN""]"
lcca.com,2,2,0,"[""10028"",""10195""]","[""PALM BAY"",""PORT ST. LUCIE""]"
leadingpathwaysaba.com,2,2,2,"[""7001"",""6037""]","[""CORAL SPRINGS"",""WEST PALM BEACH""]"
lifeskillskidstherapy.com,2,2,2,"[""9282"",""7359""]","[""HOLLYWOOD"",""PEMBROKE PINES""]"
lifeskillssouthflorida.com,2,2,1,"[""6951"",""8647""]","[""FORT LAUDERDALE"",""ORLANDO""]"
littleangelsppec.com,2,2,0,"[""9181"",""9275""]","[""LONGWOOD"",""ORLANDO""]"
littlestartherapy.com,2,2,0,"[""10305"",""6749""]","[""MIAMI"",""NORTH MIAMI""]"
littleteslapediatrics.com,2,1,1,"[""5781"",""5760""]","[""ORLANDO"",""ORLANDO""]"
matterofspeechtherapy.com,2,2,0,"[""9277"",""6785""]","[""COOPER CITY"",""PEMBROKE PINES""]"
maximumachieversllc.com,2,2,1,"[""8603"",""7045""]","[""PALM SPRINGS"",""WEST PALM BEACH""]"
motionrxhealth.com,2,2,0,"[""9663"",""9714""]","[""CLEARWATER"",""JACKSONVILLE""]"
multicaremedicalcenters.com,2,2,0,"[""10359"",""9593""]","[""CAPE CORAL"",""HOLLYWOOD""]"
mybridgetherapy.com,2,2,0,"[""7391"",""8542""]","[""CORAL SPRINGS"",""JACKSONVILLE""]"
oasistherapycare.com,2,2,0,"[""9874"",""9895""]","[""HOLLYWOOD"",""MIAMI LAKES""]"
optimumaba.com,2,2,2,"[""9319"",""6957""]","[""JACKSONVILLE"",""MARGATE""]"
