id,name,city,website
6725,ABA Therapy Center: On & Up Behavior Therapy,Aventura,http://www.onupbehavior.com/
6804,"Rachel Azrin, BCBA",Aventura,https://www.counselornorthmiamifl.com/
6769,Spring Health Autism Intervention,Aventura,http://springhealthautism.com/
8892,Thrive Behavioral Therapy,Aventura,http://www.thrivebehavioraltherapy.com/
7349,The Kelly Behavioral Institute,Belle Isle,http://kellybehavioralinstitute.com/
10594,ABA Centers of Florida - Boca Raton,Boca Raton,https://abacentersfl.com
7186,"Creative Occupational Therapy Services, LLC",Boca Raton,http://www.creativeotservices.com/
7346,The Play Base ABA Therapy,Boca Raton,https://us.theplaybase.com/
6989,Envisioning Hope Counseling,Brooksville,http://envisioninghopecounseling.com/
5880,HCA Florida Oak Hill Hospital,Brooksville,https://www.hcafloridahealthcare.com/locations/oak-hill-hospital/?utm__campaign=corp_listings_mgmt&utm_source=google&utm_medium=business_listing
7044,LifeSpring Counseling Center,Brooksville,http://www.lifespringcounseling.center/
6675,ABA For Life Behavioral Solutions,Cape Coral,https://abaforlifebs.my.canva.site/aba-for-life-website
7222,ABC CHILDREN BEHAVIOR ABA Therapy,Cape Coral,https://www.abcchildrenbehaviorabatherapy.com/
9042,Behavior Management Center Inc,Cape Coral,http://behaviormc.com/
7442,"Better Perspective Counseling Services, LLC - Cape Coral",Cape Coral,http://www.betterperspectivecounseling.com/
6576,Cape Speech Therapy LLC,Cape Coral,http://www.capespeechtherapy.com/
7484,Champions Club Special Needs Ministry,Cape Coral,https://championsclub.org/location/city-first-church/
7319,Crystal Angels Behavior Center Inc,Cape Coral,http://crystalangelsbehavior.com/
6610,"Family Initiative, Inc",Cape Coral,http://www.fi-florida.org/
6551,Healing Horizons Therapy,Cape Coral,https://www.myhealinghorizons.com/
6740,I-BOS Counseling Center,Cape Coral,http://www.iboscounseling.com/
