id,name,city,website
7569,Select Physical Therapy - Northside,Jacksonville,https://www.selectphysicaltherapy.com/contact/find-a-location/fl/jacksonville/northside/?ty=xt
8245,Select Physical Therapy - Orlando - Michigan,Orlando,https://www.selectphysicaltherapy.com/contact/find-a-location/fl/orlando/orlando-michigan/?ty=xt
7105,Select Physical Therapy - Ormond Beach,Ormond Beach,https://www.selectphysicaltherapy.com/contact/find-a-location/fl/ormond-beach/ormond-beach/?ty=xt
8431,Select Physical Therapy - Palm Harbor,Palm Harbor,https://www.selectphysicaltherapy.com/contact/find-a-location/fl/palm-harbor/palm-harbor/?ty=xt
8545,Select Physical Therapy - Plant City East,Plant City,https://www.selectphysicaltherapy.com/contact/find-a-location/fl/plant-city/plant-city-east/?ty=xt
8466,Select Physical Therapy - Plant City West,Plant City,https://www.selectphysicaltherapy.com/contact/find-a-location/fl/plant-city/plant-city-west/?ty=xt
7331,Select Physical Therapy - Port St Lucie,Port St. Lucie,https://www.selectphysicaltherapy.com/contact/find-a-location/fl/port-st-lucie/port-st-lucie/?ty=xt
7219,Select Physical Therapy - Royal Palm Beach,Royal Palm Beach,https://www.selectphysicaltherapy.com/contact/find-a-location/fl/royal-palm-beach/royal-palm-beach/?ty=xt
7314,Select Physical Therapy - Sebastian,Sebastian,https://www.selectphysicaltherapy.com/contact/find-a-location/fl/sebastian/sebastian/?ty=xt
8546,Select Physical Therapy - South Dale Mabry,Tampa,https://www.selectphysicaltherapy.com/contact/find-a-location/fl/tampa/south-dale-mabry/?ty=xt
7374,Select Physical Therapy - South Tampa,Tampa,https://www.selectphysicaltherapy.com/contact/find-a-location/fl/tampa/south-tampa/?ty=xt
8100,Select Physical Therapy - Spring Hill,Spring Hill,https://www.selectphysicaltherapy.com/contact/find-a-location/fl/spring-hill/spring-hill/?ty=xt
7420,Select Physical Therapy - St Joes,Tampa,https://www.selectphysicaltherapy.com/contact/find-a-location/fl/tampa/st-joes/?ty=xt
7661,Select Physical Therapy - Tamarac,Tamarac,https://www.selectphysicaltherapy.com/contact/find-a-location/fl/tamarac/tamarac/?ty=xt
8467,Select Physical Therapy - Tampa - Himes Avenue,Tampa,https://www.selectphysicaltherapy.com/contact/find-a-location/fl/tampa/tampa-himes-avenue/?ty=xt
8472,Select Physical Therapy - Tampa Carrollwood,Tampa,https://www.selectphysicaltherapy.com/contact/find-a-location/fl/tampa/tampa-carrollwood/?ty=xt
8473,Select Physical Therapy - Tampa Palms,Tampa,https://www.selectphysicaltherapy.com/contact/find-a-location/fl/tampa/tampa-palms/?ty=xt
7427,Select Physical Therapy - Tampa- Fowler Avenue,Tampa,https://www.selectphysicaltherapy.com/contact/find-a-location/fl/tampa/tampa-fowler-avenue/?ty=xt
8208,Select Physical Therapy - Turkey Lake,Orlando,https://www.selectphysicaltherapy.com/contact/find-a-location/fl/orlando/turkey-lake/?ty=xt
8091,Select Physical Therapy - Weeki Wachee,Brooksville,https://www.selectphysicaltherapy.com/contact/find-a-location/fl/weeki-wachee/weeki-wachee/?ty=xt
8359,Select Physical Therapy - West Palm Beach,Palm Springs,https://www.selectphysicaltherapy.com/contact/find-a-location/fl/west-palm-beach/west-palm-beach/?ty=xt
7618,Select Physical Therapy - West Pembroke Pines,Pembroke Pines,https://www.selectphysicaltherapy.com/contact/find-a-location/fl/pembroke-pines/west-pembroke-pines/?ty=xt
8501,Select Physical Therapy - Weston,Weston,https://www.selectphysicaltherapy.com/contact/find-a-location/fl/weston/weston/?ty=xt
8491,Select Physical Therapy - Westside,Jacksonville,https://www.selectphysicaltherapy.com/contact/find-a-location/fl/jacksonville/westside/?ty=xt
7506,Select Physical Therapy - Winter Haven,Winter Haven,https://www.selectphysicaltherapy.com/contact/find-a-location/fl/winter-haven/winter-haven/?ty=xt
8235,Select Physical Therapy - Winter Park,Winter Park,https://www.selectphysicaltherapy.com/contact/find-a-location/fl/winter-park/winter-park/?ty=xt
7211,Success On The Spectrum - Carrollwood,Tampa,https://successonthespectrum.com/location/Carrollwood/
10715,Success On The Spectrum - Clearwater,Clearwater,https://successonthespectrum.com/location/clearwater/
