id,name,address,city,state,zip_code
9949,CORA Physical Therapy St. Lucie West,1707 ST LUCIE W BLVD,Port St. Lucie,FL,34986
7331,Select Physical Therapy - Port St Lucie,156 NW CALIFORNIA BLVD,Port St. Lucie,FL,34986
9768,Florida Orthopaedic Specialists,9077 S FEDERAL HWY,Port St. Lucie,FL,34952
9680,Action Physical Therapy,1680 ST LUCIE W BLVD,Port St. Lucie,FL,34986
9437,NAU Physical Therapy and Wellness,8509 SOUTH FEDERAL HIGHWAY U,Port St. Lucie,FL,34952
9516,"Oreo Physical Therapy, LLC",7791 S U.S. HWY 1,Port St. Lucie,FL,34952
9272,Square One Behavioral Services Inc. - ABA Therapy For Autism,420 S State Road 7 #174,Royal Palm Beach,FL,33414
9509,Rejuvenate Physical Therapy,1803 BRIAR CREEK BLVD,Safety Harbor,FL,34695
9670,Mease Countryside Physical Therapy & Sports Rehabilitation,3251 MCMULLEN BOOTH RD STE 200,Safety Harbor,FL,34695
9797,3 C's Therapy Center,4019 W 1ST ST,Sanford,FL,32771
9517,Longevity Rehab Center - Sebastian,13000 U.S. RTE 1 STE 7,Sebastian,FL,32958
7314,Select Physical Therapy - Sebastian,1424 U.S. RTE 1 SUITE B,Sebastian,FL,32958
7459,Behavior Management Consultants - 4820 Kerry Forest Pkwy,4820 KERRY FOREST PKWY,Tallahassee,FL,32309
7661,Select Physical Therapy - Tamarac,7160 N UNIVERSITY DR,Tamarac,FL,33321
9439,Physical Therapy Associates of South Florida,7171 N UNIVERSITY DR,Tamarac,FL,33321
6474,BEBES NURSING CARE LLC,7171 N UNIVERSITY DR STE 205,Tamarac,FL,33321
10227,LifeCare Therapy,7777 N UNIVERSITY DR # 101S,Tamarac,FL,33321
6267,DGAN LLC,6802 LAKEVIEW CENTER DR STE 500,Tampa,FL,33619
9962,Pelvic Solutions,307 S BOULEVARD B,Tampa,FL,33606
5835,"Quest, Inc. Training Center & Tampa Corporate Office",3910 US-301,Tampa,FL,33619
8689,MERCED CARE HOME LLC,4701 N HABANA AVE,Tampa,FL,33614
5808,Quest Kids Therapy - Tampa - 3910 Us-301,3910 US-301,Tampa,FL,33619
9307,Spellers Center Tampa - Occupational Therapy for Nonverbal Individuals with Autism/ Apraxia,1816 HEALTH CARE DR,Trinity,FL,34655
10241,Purposeful Play Pediatric Therapy,680 U.S. 41 BYPASS N SUITE 2,Venice,FL,34285
9203,The Learning Experience - West Melbourne,4470 HOLLYWOOD BLVD,West Melbourne,FL,32904
6284,"THE ARC NASSAU, INC.",86051 HAMILTON STREET,Yulee,FL,32097
