id,name,city,slug,website
6834,Florida Association of Centers for Independent Living,Tallahassee,florida-association-of-centers-for-independent-living-tallahassee-fl-6834,https://www.floridacils.org/
7046,Florida Developmental Disabilities Council,Tallahassee,florida-developmental-disabilities-council-tallahassee-fl-7046,http://fddc.org/
7125,Agency for Persons with Disabilities,Tallahassee,agency-for-persons-with-disabilities-tallahassee-fl-7125,https://apd.myflorida.com/
7355,Florida Learning Disabilities Research Center,Tallahassee,florida-learning-disabilities-research-center-tallahassee-fl-7355,https://fldrc.fsu.edu/
7411,FSU Center for Academic and Professional Development,Tallahassee,fsu-center-for-academic-and-professional-development-tallahassee-fl-7411,https://learningforlife.fsu.edu/
8615,Adult Education-West Area Adult School,Lakeland,adult-education-west-area-adult-school-lakeland-fl-8615,http://www.westareaadult.com/
8959,The Able Trust,Tallahassee,the-able-trust-tallahassee-fl-8959,http://www.abletrust.org/
9115,FABA,Tallahassee,faba-tallahassee-fl-9115,null
