site,city,n,ids,names
provitaspeech.com,PORT ST. LUCIE,2,8883 | 9170,Provita Speech Therapy Port St Lucie - Port St. Lucie || Provita Speech Therapy Port St Lucie - Port Saint Lucie
ptsolutions.com,LAKELAND,2,6976 | 7179,PT Solutions of Lakeland || PT Solutions of Lakeland - Christina Lake
ptsolutions.com,PALM HARBOR,2,10177 | 10184,PT Solutions of Tampa Road || PT Solutions of East Lake
questinc.org,TAMPA,2,5808 | 5835,"Quest Kids Therapy - Tampa - 3910 Us-301 || Quest, Inc. Training Center & Tampa Corporate Office"
re-writtencounseling.com,PORT ST. LUCIE,2,7126 | 7286,"Re-Written Counseling Services, LLC - Port St. Lucie || Re-Written Counseling Services, LLC - Port Saint Lucie"
risecounselingtc.com,PORT ST. LUCIE,2,8510 | 9043,Rise Counseling Treasure Coast - Port Saint Lucie || Rise Counseling Treasure Coast - Port St. Lucie
speak2metherapy.com,FORT LAUDERDALE,2,7415 | 9364,The Therapy Hive - Fort Lauderdale || The Therapy Hive - Ft Lauderdale
sunrisegroup.org,MIAMI,2,6329 | 10684,"SUNRISE COMMUNITY, INC || Sunrise Community, Inc. - Miami 162nd Avenue"
sunshinetherapies.org,PORT ST. LUCIE,2,6592 | 9403,"Sunshine Therapies, LLC - Port St. Lucie || Sunshine Therapies, LLC - Port Saint Lucie"
talkactiveclinic.com,ORLANDO,2,6524 | 9406,Talk Active Speech & Occupational - Florida Mall || Talk Active Speech & Occupational - Metrowest
thriveworks.com,JACKSONVILLE,2,6540 | 8488,Thriveworks Counseling & Psychiatry - Jacksonville - 4070 Herschel St || Thriveworks Counseling & Psychiatry - Jacksonville - 4243 Sunbeam Rd
tlcpediatrictherapy.com,ORLANDO,2,7257 | 9928,TLC Pediatric Therapies - 6000 Rio Grande Ave || TLC Pediatric Therapies - 4705 S Apopka Vineland Rd
travelinglightcounseling.com,PORT ST. LUCIE,2,6854 | 8520,Traveling Light Counseling Inc - Port St. Lucie || Traveling Light Counseling Inc - Port Saint Lucie
wolfsonchildrens.com,FLEMING ISLAND,2,10004 | 10235,Wolfson Children's Specialty Center - Baptist Clay || Wolfson Children's Rehabilitation - Wolfson Children’s Specialty Center - Baptist Clay
www-healthpro-heritage-com.sandbox.hs-sites.com,LAKELAND,2,10331 | 10332,HealthPRO Pediatrics Lakeland - 1818 Harden Blvd || HealthPRO Pediatrics Lakeland - 4222 Florida Ave South
