id,name,keith_note,keith_url,actual_type
7006,Space Coast Discovery,"Private academy, infant care through primary school",http://spacecoastdiscovery.org/,SCHOOL
6788,Grow the Vine Speech & Wellness,"Speech-language pathology; swallowing, voice, tongue-tie therapy",https://www.gtvspeechgym.com/services-7,THERAPY_PROVIDER
6751,Learning to Achieve Wellness - TMS Therapy & Spravato,"Psychiatric practice: TMS, Spravato, medication management, talk therapy",https://learningtoachievewellness.com/,MENTAL_HEALTH_COUNSELING
7261,Salix Behavioral and Wellness Services,"Psychotherapy practice using CBT, DBT-informed skills, art therapy",https://www.salixbw.com/,MENTAL_HEALTH_COUNSELING
