id,name,status,place_id,rating,user_ratings_total,website,phone,error
8505,Adaptive Mind Therapy | West Palm Beach Therapist,success,ChIJjQuTpYPX2IgRljnFJj6tl-8,5,23,http://www.adaptivemindtherapy.com/,,
8541,Orlando Therapy Center,success,ChIJ3-xIh0R854gRkoKnSy5midc,4.9,56,http://www.chiro-tc.com/,,
8559,Puzzle Box,success,ChIJWevMyekR3ogRVrRXwXg872k,,,https://www.puzzleboxacademy.com/location/melbourne/,,
9262,Aprendo Creciendo,success,ChIJU2v_DHOh2YgRdHQCGbiiRm4,5,22,http://aprendocreciendo.com/,,
9263,Equanimity Behavioral Services - Hollywood - 701 Promenade Dr,success,ChIJj-FVUTmn2YgR5XwIB9SfxjE,4.3,12,http://equanimitytherapy.com/,(954) 399-2637,
9265,FSU Center For Autism,success,ChIJIQW54Xf17IgRf9NY-r3gBks,5,1,http://fsucard.com/,,
9781,"Allphysio Therapy Services, LLC",success,ChIJtwYanMdx54gRXhlIzugBicc,5,1,https://allphysiotherapy.wixsite.com/my-vxw-site-f0ogbz,,
10312,FSU Communication and Early Childhood Research and Practice (CEC-RAP) Center,success,ChIJafhnPSv17IgR8zLuga5nb0U,,,https://cec-rap.fsu.edu/,,
10423,Crossroads Impact Church,success,ChIJKa7nEy6B54gRkpocAPs4cPg,5,33,https://crossroadsimpact.org/,,
