id,name,address,city,state,zip_code
9309,"Alyssa Frey CranioSacral and Occupational Therapist CST, OT",300 MERCURY RD,North Palm Beach,FL,33408
7653,Challenges Conquered Counseling Services,800 E CYPRESS CREEK RD,Oakland Park,FL,33334
10215,PT Solutions of Oldsmar (formerly Westchase Physical Therapy),3953 TAMPA RD,Oldsmar,FL,34677
8199,Brilliant Brains Behavior Services LLC,3970 TAMPA RD SUITE E,Oldsmar,FL,34677
9173,Small Talk Speech Therapy (Orange Park),1700 WELLS RD STE 18,Orange Park,FL,32073
9794,Department of Communication Sciences and Disorders,3280 Progress Drive Suite 500,Orlando,FL,32826
10249,AMP PEDIATRIC THERAPY,6900 TAVISTOCK LAKES BLVD,Orlando,FL,32827
9256,"Sweet Speech, LLC",OVIEDO,Oviedo,FL,32765
9900,AxisPro Physical Therapy & Hand clinic - Palm Bay,5240 BABCOCK ST NE # 102,Palm Bay,FL,32905
9292,"Little Harbor Therapy, LLC",JUPITER,Palm Beach Gardens,FL,33458
9324,"Holistic Family Occupational Therapy, LLC - Palm Springs",2290 10TH AVE N,Palm Springs,FL,33461
9783,Apollo Rehab Parkland,7635 N STATE RD 7,Parkland,FL,33073
8720,"PEGGY JOYCE HARGROVE
JOYCE LOVE & CARE HOME",3304 SAN MOISE PL,Plant City,FL,33567
10229,Wolfson Children's Rehabilitation - HealthPlace at Nocatee,400 Colonnade Drive Suite 110,Ponte Vedra,FL,32081
9664,MaternalFit Pelvic Physical Therapy,3930 S Nova Road Suite 205,Port Orange,FL,32127
9949,CORA Physical Therapy St. Lucie West,1707 ST LUCIE W BLVD,Port St. Lucie,FL,34986
7331,Select Physical Therapy - Port St Lucie,156 NW CALIFORNIA BLVD,Port St. Lucie,FL,34986
9680,Action Physical Therapy,1680 ST LUCIE W BLVD,Port St. Lucie,FL,34986
10078,North Florida Therapy Services,860 Strong Road,Quincy,FL,32351
9509,Rejuvenate Physical Therapy,1803 BRIAR CREEK BLVD,Safety Harbor,FL,34695
9670,Mease Countryside Physical Therapy & Sports Rehabilitation,3251 MCMULLEN BOOTH RD STE 200,Safety Harbor,FL,34695
9797,3 C's Therapy Center,4019 W 1ST ST,Sanford,FL,32771
7314,Select Physical Therapy - Sebastian,1424 U.S. RTE 1 SUITE B,Sebastian,FL,32958
9517,Longevity Rehab Center - Sebastian,13000 U.S. RTE 1 STE 7,Sebastian,FL,32958
9235,FSU School of Communication Science and Disorders,201 W Bloxham St Warren Building,Tallahassee,FL,32306
8475,Children's Learning Clinic,1107 W Call St,Tallahassee,FL,32306
7459,Behavior Management Consultants - 4820 Kerry Forest Pkwy,4820 KERRY FOREST PKWY,Tallahassee,FL,32309
10227,LifeCare Therapy,7777 N UNIVERSITY DR # 101S,Tamarac,FL,33321
9439,Physical Therapy Associates of South Florida,7171 N UNIVERSITY DR,Tamarac,FL,33321
6474,BEBES NURSING CARE LLC,7171 N UNIVERSITY DR STE 205,Tamarac,FL,33321
7661,Select Physical Therapy - Tamarac,7160 N UNIVERSITY DR,Tamarac,FL,33321
5835,"Quest, Inc. Training Center & Tampa Corporate Office",3910 US-301,Tampa,FL,33619
8689,MERCED CARE HOME LLC,4701 N HABANA AVE,Tampa,FL,33614
9962,Pelvic Solutions,307 S BOULEVARD B,Tampa,FL,33606
6267,DGAN LLC,6802 LAKEVIEW CENTER DR STE 500,Tampa,FL,33619
5808,Quest Kids Therapy - Tampa - 3910 Us-301,3910 US-301,Tampa,FL,33619
9254,"Our Speech Garden, LLC.",TAMPA,Tampa,FL,33625
9960,Optimal Performance & PT,1812,Tampa,FL,33606
9307,Spellers Center Tampa - Occupational Therapy for Nonverbal Individuals with Autism/ Apraxia,1816 HEALTH CARE DR,Trinity,FL,34655
10241,Purposeful Play Pediatric Therapy,680 U.S. 41 BYPASS N SUITE 2,Venice,FL,34285
9203,The Learning Experience - West Melbourne,4470 HOLLYWOOD BLVD,West Melbourne,FL,32904
6398,C INDIVIDUALS TRANSITION TO WORK INC.,4949 ALORA ISLES DR APT 1116,West Palm Beach,FL,33417
9662,Paley Orthopedic & Spine Institute,KIMMEL 901,West Palm Beach,FL,33407
8632,ABLE LIFE CARE SERVICES,4728 ALORA ISLES DR APT 7211,West Palm Beach,FL,33417
9059,"MILESTONES OF EXCELLENCE, LLC",2013 PINE PL APT 112,Winter Haven,FL,33881
6284,"THE ARC NASSAU, INC.",86051 HAMILTON STREET,Yulee,FL,32097
